icd_code,vocabulary,events_in_extract,who_term,cm_term,terms_agree,icd_retired,option_A_phecodex_CM_map,option_B_snomed_route,snomed_concept,snomed_source_coverage,automated_flag,adjudication_A_or_B,clinician_notes
M4200,ICD10,1,"Juvenile osteochondrosis of spine, multiple sites in spine","Juvenile osteochondrosis of spine, site unspecified",yes,no,MS_725 [Osteochondrosis]; MS_725.1 [Spinal osteochondrosis*],MS_725 [Osteochondrosis],53406005 Juvenile osteochondrosis of spine,13/13,,A,CM map adds specificity the code term already implies.
M6152,ICD10,1,"Other ossification of muscle, upper arm","Other ossification of muscle, upper arm",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
M6155,ICD10,1,"Other ossification of muscle, pelvic region and thigh","Other ossification of muscle, thigh",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
M6150,ICD10,1,"Other ossification of muscle, multiple sites","Other ossification of muscle, unspecified site",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
M0002,ICD10,1,"Staphylococcal arthritis and polyarthritis, Upper arm","Staphylococcal arthritis, elbow",yes,no,ID_002 [Staphylococcus]; MS_702 [Infective and reactive arthropathies]; MS_702.1 [Pyogenic arthritis [Septic arthritis]],MS_702 [Infective and reactive arthropathies]; MS_702.1 [Pyogenic arthritis [Septic arthritis]],239779001 Elbow pyogenic arthritis,12/12,,A,CM map adds specificity the code term already implies.
M6159,ICD10,1,"Other ossification of muscle, site unspecified","Other ossification of muscle, multiple sites",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
A91,ICD10,1,Dengue hemorrhagic fever,Dengue hemorrhagic fever,yes,yes,ID_068 [Dengue virus]; ID_068.1 [Dengue hemorrhagic fever*]; ID_089 [Infections]; ID_089.2 [Viral infections],ID_068 [Dengue virus]; ID_089 [Infections]; ID_089.2 [Viral infections],20927009 Dengue hemorrhagic fever,2/2,,A,CM map adds specificity the code term already implies.
M4205,ICD10,1,"Juvenile osteochondrosis of spine, thoracolumbar region","Juvenile osteochondrosis of spine, thoracolumbar region",yes,no,MS_725 [Osteochondrosis]; MS_725.1 [Spinal osteochondrosis*],MS_725 [Osteochondrosis],53406005 Juvenile osteochondrosis of spine,13/13,,A,CM map adds specificity the code term already implies.
M6158,ICD10,1,"Other ossification of muscle, other","Other ossification of muscle, other site",yes,no,MS_719 [Disorders of muscle]; MS_719.2 [Muscle calcification and ossification],MS_719 [Disorders of muscle],44551007 Muscular ossification,36/36,,A,CM map adds specificity the code term already implies.
M4206,ICD10,1,"Juvenile osteochondrosis of spine, lumbar region","Juvenile osteochondrosis of spine, lumbar region",yes,no,MS_725 [Osteochondrosis]; MS_725.1 [Spinal osteochondrosis*],MS_725 [Osteochondrosis],53406005 Juvenile osteochondrosis of spine,13/13,,A,CM map adds specificity the code term already implies.
D097,ICD10CM,0,,,,,,,,,,A,"carcinoma in situ -> malignant neoplasm of the same site is PhecodeX's consistent convention across all 157 CIS codes (D00.0->CA_100, D01.x->CA_101); B would make D09.7 the odd one out"
M0083,ICD10,0,,,,,,,,,,A,bacterial arthritis is pyogenic arthritis
M1106,ICD10,0,,,,,,,,,,A,exact term match with the phecode
M4201,ICD10,0,,,,,,,,,,A,"same family as M42.04/09, adjudicated A"
M4202,ICD10,0,,,,,,,,,,A,"same family as M42.04/09, adjudicated A"
M4203,ICD10,0,,,,,,,,,,A,"same family as M42.04/09, adjudicated A"
M4207,ICD10,0,,,,,,,,,,A,"same family as M42.04/09, adjudicated A"
M4208,ICD10,0,,,,,,,,,,A,"same family as M42.04/09, adjudicated A"
M6151,ICD10,0,,,,,,,,,,A,"same family as M61.5x, adjudicated A"
M6153,ICD10,0,,,,,,,,,,A,"same family as M61.5x, adjudicated A"
M6154,ICD10,0,,,,,,,,,,A,"same family as M61.5x, adjudicated A"
M6157,ICD10,0,,,,,,,,,,A,"same family as M61.5x, adjudicated A"
